# BJD FLUX E_FLUX MAG E_MAG FLAG
8473.287040 0.998705 0.001647 0.001407 0.001790 0
8473.307854 0.994593 0.001645 0.005886 0.001796 0
8473.328667 1.000211 0.001646 -0.000229 0.001787 0
8473.349541 0.997726 0.001646 0.002471 0.001791 0
8473.370354 0.997121 0.001646 0.003131 0.001792 0
8473.391167 1.002163 0.001649 -0.002346 0.001786 0
8473.412041 0.998702 0.001648 0.001411 0.001792 0
8473.432854 0.998005 0.001646 0.002169 0.001791 0
8473.453667 0.989820 0.001643 0.011109 0.001802 0
8473.474542 0.899828 0.001598 0.114601 0.001928 0
8473.495355 0.821303 0.001557 0.213741 0.002058 0
8473.516168 0.884403 0.001589 0.133374 0.001951 0
8473.537042 0.986244 0.001639 0.015039 0.001804 0
8473.557855 0.999316 0.001648 0.000743 0.001790 0
8473.578668 1.001485 0.001648 -0.001612 0.001787 0
8473.599542 0.998951 0.001647 0.001139 0.001791 0
8473.620355 1.005567 0.001650 -0.006028 0.001781 0
8473.641168 1.001893 0.001649 -0.002053 0.001787 0
8473.662043 1.004114 0.001650 -0.004458 0.001784 0
8473.682856 0.998751 0.001649 0.001356 0.001793 0
8473.703669 0.998307 0.001648 0.001840 0.001792 0
8473.724543 0.994193 0.001646 0.006323 0.001797 0
8473.745356 0.989996 0.001644 0.010916 0.001803 0
8473.766169 0.983261 0.001640 0.018328 0.001811 0
8473.787043 0.979735 0.001639 0.022229 0.001816 0
8473.807856 0.969924 0.001633 0.033155 0.001828 0
8473.828669 0.963236 0.001631 0.040668 0.001838 0
8473.849544 0.957409 0.001628 0.047256 0.001846 0
8473.870357 0.950678 0.001625 0.054916 0.001856 0
8473.891170 0.905828 0.001602 0.107385 0.001920 0
8473.912044 0.726397 0.001506 0.347065 0.002251 0
8473.932857 0.683336 0.001483 0.413414 0.002356 0
8473.953670 0.855650 0.001576 0.169259 0.002000 0
8473.974544 0.954837 0.001625 0.050177 0.001848 0
8473.995357 0.957111 0.001628 0.047594 0.001847 0
8474.016170 0.962414 0.001632 0.041595 0.001841 1
8474.037045 1.003739 0.001652 -0.004052 0.001787 1
8474.057858 0.999981 0.001649 0.000020 0.001790 1
8474.078671 1.001758 0.001651 -0.001907 0.001789 1
8474.099545 0.999547 0.001648 0.000492 0.001791 1
8474.120358 0.997872 0.001648 0.002313 0.001793 1
8474.141171 0.995327 0.001648 0.005086 0.001797 1
8474.162045 0.994646 0.001647 0.005829 0.001798 1
8474.182859 0.997423 0.001649 0.002802 0.001795 1
8474.203672 1.000848 0.001650 -0.000920 0.001790 0
8474.224546 1.002200 0.001651 -0.002386 0.001789 0
8474.245359 0.998566 0.001648 0.001558 0.001792 0
8474.266172 0.998404 0.001648 0.001734 0.001793 0
8474.287046 0.997821 0.001649 0.002368 0.001795 0
8474.307859 0.993374 0.001646 0.007218 0.001799 0
8474.328673 0.929906 0.001616 0.078903 0.001887 0
8474.349547 0.829534 0.001562 0.202914 0.002045 0
8474.370360 0.859545 0.001577 0.164329 0.001992 0
8474.391173 0.976654 0.001636 0.025648 0.001818 0
8474.412047 0.998991 0.001649 0.001097 0.001792 0
8474.432860 0.999144 0.001647 0.000930 0.001789 0
8474.453673 0.999650 0.001651 0.000380 0.001793 0
8474.474548 1.002000 0.001649 -0.002170 0.001787 0
